months_as_customer,age,policy_number,policy_bind_year,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,total_claim_amount,vehicle_type,fraud_reported
190,62,938530,2017,OH,100/300,500,1863,MALE,College,prof-specialty,Vehicle Theft,Rear Collision,Total Loss,24161,SUV,N
296,61,770611,2015,IL,500/1000,1000,1441,MALE,PhD,prof-specialty,Vehicle Theft,Front Collision,Major Damage,29738,Truck,Y
213,22,746701,2009,IL,500/1000,1000,1093,FEMALE,PhD,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,5925,Sedan,N
208,23,886958,2005,OH,500/1000,500,1372,MALE,Masters,craft-repair,Multi-vehicle Collision,Side Collision,Minor Damage,10463,Truck,N
237,43,430904,2007,IN,100/300,1000,512,FEMALE,High School,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,19412,SUV,N
338,71,147837,2011,IN,500/1000,500,628,MALE,Associate,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,24402,Sedan,Y
367,21,618349,2016,IN,250/500,1000,570,MALE,High School,prof-specialty,Vehicle Theft,Side Collision,Minor Damage,36010,SUV,N
53,36,884838,2019,OH,500/1000,500,694,MALE,Associate,sales,Multi-vehicle Collision,Front Collision,Major Damage,27717,Truck,N
280,37,897968,2009,IN,250/500,1000,588,MALE,College,sales,Parked Car,Side Collision,Total Loss,43552,Sedan,Y
217,50,652829,2019,OH,500/1000,500,825,FEMALE,College,exec-managerial,Vehicle Theft,Rear Collision,Total Loss,11797,SUV,N
252,37,179083,2012,OH,100/300,1000,1376,FEMALE,PhD,craft-repair,Single Vehicle Collision,Front Collision,Total Loss,22594,Sports Car,N
188,66,658819,2014,IL,500/1000,2000,1502,MALE,College,sales,Single Vehicle Collision,Side Collision,Total Loss,8406,Sedan,N
380,29,370856,2020,IN,250/500,1000,1057,FEMALE,PhD,craft-repair,Vehicle Theft,Front Collision,Major Damage,15965,Sedan,N
41,64,466245,2012,OH,250/500,500,1318,FEMALE,High School,exec-managerial,Vehicle Theft,Rear Collision,Total Loss,15733,SUV,N
157,18,951887,2005,IN,500/1000,2000,1605,MALE,College,craft-repair,Parked Car,Side Collision,Total Loss,28926,Sports Car,N
15,43,699032,2016,IN,250/500,1000,898,MALE,High School,craft-repair,Vehicle Theft,Front Collision,Total Loss,30783,Sedan,Y
301,31,877147,2009,IL,250/500,2000,1161,FEMALE,High School,craft-repair,Single Vehicle Collision,Front Collision,Total Loss,19824,SUV,N
65,55,754037,2007,IN,100/300,1000,1265,FEMALE,College,sales,Parked Car,Side Collision,Major Damage,38394,Sedan,Y
345,54,891541,2005,IL,500/1000,2000,1225,FEMALE,High School,tech-support,Single Vehicle Collision,Front Collision,Total Loss,44842,Sedan,Y
327,28,935700,2008,OH,500/1000,500,470,FEMALE,College,prof-specialty,Multi-vehicle Collision,Front Collision,Minor Damage,30287,Sedan,N
9,53,856097,2012,IN,500/1000,1000,647,MALE,College,craft-repair,Vehicle Theft,Rear Collision,Minor Damage,18568,Sports Car,N
344,30,941047,2007,OH,250/500,1000,545,MALE,College,craft-repair,Multi-vehicle Collision,Rear Collision,Minor Damage,32436,Truck,N
129,60,706791,2014,IN,500/1000,500,1719,FEMALE,Associate,craft-repair,Single Vehicle Collision,Rear Collision,Minor Damage,23380,Truck,N
136,20,354346,2006,OH,500/1000,2000,981,MALE,High School,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,26796,Sports Car,N
63,50,709996,2015,IN,100/300,500,869,FEMALE,Masters,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,10031,Sports Car,Y
139,23,815472,2014,IN,100/300,500,1929,FEMALE,College,sales,Single Vehicle Collision,Rear Collision,Major Damage,23947,SUV,N
81,67,726759,2018,IN,100/300,2000,592,MALE,High School,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,5188,Sedan,N
392,73,878513,2011,IN,250/500,500,1491,FEMALE,PhD,craft-repair,Vehicle Theft,Rear Collision,Total Loss,27669,Sports Car,N
163,27,257661,2006,IN,500/1000,1000,893,FEMALE,College,tech-support,Multi-vehicle Collision,Front Collision,Minor Damage,37713,SUV,Y
289,22,785375,2013,IN,100/300,1000,451,MALE,College,tech-support,Parked Car,Side Collision,Major Damage,33813,Truck,Y
379,40,260081,2020,IN,100/300,1000,1281,MALE,Masters,tech-support,Parked Car,Front Collision,Minor Damage,8765,Truck,Y
261,27,969741,2017,IN,100/300,500,762,FEMALE,Associate,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,25171,Truck,N
231,61,488590,2013,IN,500/1000,1000,1316,FEMALE,Associate,prof-specialty,Single Vehicle Collision,Rear Collision,Total Loss,12807,Truck,Y
41,19,817406,2008,OH,500/1000,1000,873,MALE,College,sales,Multi-vehicle Collision,Front Collision,Major Damage,12204,SUV,N
28,30,993093,2014,IL,500/1000,1000,920,FEMALE,High School,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,29066,Sedan,N
135,57,781503,2016,IN,250/500,1000,1854,FEMALE,PhD,exec-managerial,Parked Car,Front Collision,Major Damage,44120,SUV,Y
201,19,106154,2021,IL,250/500,1000,1721,MALE,PhD,prof-specialty,Vehicle Theft,Side Collision,Major Damage,39367,Sedan,Y
328,37,777164,2018,IN,100/300,1000,1858,MALE,High School,exec-managerial,Vehicle Theft,Rear Collision,Minor Damage,24658,Truck,N
268,18,164288,2018,IN,500/1000,500,1090,MALE,College,tech-support,Multi-vehicle Collision,Front Collision,Minor Damage,39081,Sports Car,N
33,54,151195,2006,OH,100/300,1000,1621,MALE,PhD,tech-support,Vehicle Theft,Rear Collision,Total Loss,36986,Sports Car,Y
48,26,382725,2015,OH,500/1000,1000,1551,MALE,Associate,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,15786,Sports Car,N
62,34,545864,2020,IL,500/1000,2000,931,MALE,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,31283,Sedan,Y
216,26,392231,2010,OH,500/1000,500,1834,FEMALE,Masters,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,2056,Truck,N
293,28,805290,2009,OH,250/500,500,1239,FEMALE,College,sales,Single Vehicle Collision,Rear Collision,Major Damage,47301,SUV,Y
99,32,264053,2008,IL,250/500,500,1488,MALE,High School,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,34911,Sports Car,Y
172,41,693586,2019,OH,500/1000,500,640,MALE,PhD,sales,Vehicle Theft,Rear Collision,Total Loss,41986,Sedan,Y
360,55,932599,2008,IN,100/300,1000,1792,FEMALE,College,prof-specialty,Parked Car,Side Collision,Major Damage,10559,Sports Car,Y
214,72,830664,2014,IL,500/1000,1000,935,FEMALE,Associate,tech-support,Vehicle Theft,Side Collision,Total Loss,28058,SUV,N
35,52,536624,2007,IL,500/1000,2000,1807,FEMALE,College,sales,Single Vehicle Collision,Rear Collision,Total Loss,24745,Truck,N
227,47,139499,2009,IN,100/300,2000,1854,MALE,College,prof-specialty,Parked Car,Front Collision,Minor Damage,2615,SUV,N
101,48,487960,2010,OH,500/1000,500,482,MALE,Associate,sales,Multi-vehicle Collision,Side Collision,Total Loss,10062,Truck,N
131,66,545485,2012,IL,100/300,2000,1381,FEMALE,Associate,prof-specialty,Single Vehicle Collision,Side Collision,Major Damage,30214,Truck,Y
257,22,793919,2011,IL,250/500,2000,1350,MALE,College,prof-specialty,Single Vehicle Collision,Rear Collision,Major Damage,46288,Truck,Y
5,61,345198,2014,IN,250/500,500,1010,MALE,Associate,tech-support,Parked Car,Side Collision,Total Loss,40745,Sports Car,Y
218,67,567535,2010,IN,100/300,500,973,MALE,High School,craft-repair,Multi-vehicle Collision,Side Collision,Major Damage,46187,SUV,Y
255,31,867285,2018,OH,250/500,2000,685,FEMALE,Associate,prof-specialty,Parked Car,Front Collision,Minor Damage,44548,Sports Car,N
398,70,720635,2008,IL,250/500,1000,1388,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Front Collision,Total Loss,12681,SUV,N
359,73,410931,2017,OH,100/300,2000,1957,MALE,College,tech-support,Single Vehicle Collision,Front Collision,Total Loss,8984,Sedan,Y
283,28,397632,2021,OH,250/500,2000,858,MALE,High School,craft-repair,Vehicle Theft,Rear Collision,Total Loss,29579,Sedan,N
393,26,436585,2011,IN,500/1000,1000,1635,MALE,Masters,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,27274,SUV,N
207,51,830023,2008,IL,500/1000,1000,525,MALE,Masters,exec-managerial,Vehicle Theft,Rear Collision,Major Damage,39739,SUV,Y
15,29,122431,2018,IL,100/300,500,1836,MALE,PhD,craft-repair,Vehicle Theft,Side Collision,Total Loss,29399,SUV,N
346,52,423825,2007,IL,250/500,500,1922,FEMALE,Associate,sales,Multi-vehicle Collision,Side Collision,Major Damage,33481,SUV,Y
42,52,294555,2009,IN,500/1000,2000,824,MALE,Associate,tech-support,Parked Car,Side Collision,Major Damage,2944,Truck,N
380,18,747008,2020,IN,500/1000,1000,953,MALE,High School,craft-repair,Multi-vehicle Collision,Front Collision,Total Loss,30457,Sports Car,Y
179,57,673441,2008,IN,250/500,500,1009,MALE,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,11114,Truck,N
63,39,368512,2006,IN,250/500,2000,1966,FEMALE,PhD,prof-specialty,Parked Car,Rear Collision,Major Damage,41846,Sports Car,Y
352,46,998792,2022,IN,500/1000,1000,1581,FEMALE,High School,exec-managerial,Vehicle Theft,Side Collision,Total Loss,20130,Sports Car,N
231,25,276076,2021,IL,500/1000,2000,511,MALE,Associate,prof-specialty,Vehicle Theft,Rear Collision,Total Loss,14312,Sports Car,Y
241,28,319724,2018,OH,100/300,500,801,FEMALE,Masters,tech-support,Single Vehicle Collision,Front Collision,Total Loss,34596,Truck,Y
52,58,999187,2017,IL,100/300,500,521,FEMALE,PhD,prof-specialty,Parked Car,Rear Collision,Total Loss,40551,SUV,Y
96,54,681273,2016,OH,500/1000,1000,672,FEMALE,College,craft-repair,Single Vehicle Collision,Side Collision,Major Damage,11751,Truck,N
388,31,936501,2010,IN,100/300,2000,1717,FEMALE,Masters,prof-specialty,Single Vehicle Collision,Front Collision,Total Loss,8907,Truck,N
222,47,414470,2008,OH,500/1000,1000,797,FEMALE,PhD,sales,Multi-vehicle Collision,Front Collision,Minor Damage,30114,Sports Car,N
231,52,733025,2020,IL,500/1000,500,870,FEMALE,High School,craft-repair,Single Vehicle Collision,Side Collision,Total Loss,27009,Sedan,N
237,38,836421,2017,IL,100/300,500,1384,MALE,College,tech-support,Parked Car,Rear Collision,Minor Damage,21310,Sedan,N
143,54,778758,2008,OH,100/300,2000,1630,FEMALE,PhD,craft-repair,Single Vehicle Collision,Side Collision,Total Loss,37725,Truck,Y
171,22,853753,2021,IN,250/500,2000,1533,FEMALE,PhD,sales,Parked Car,Rear Collision,Minor Damage,20996,Sports Car,N
29,36,150861,2005,IN,250/500,2000,1863,MALE,Associate,tech-support,Vehicle Theft,Rear Collision,Minor Damage,8047,Truck,N
36,31,438041,2022,IL,250/500,1000,1701,MALE,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,41017,Truck,Y
13,43,312977,2021,OH,500/1000,2000,1991,MALE,Associate,sales,Parked Car,Side Collision,Total Loss,30767,SUV,Y
160,21,751406,2019,IN,100/300,2000,968,MALE,College,tech-support,Vehicle Theft,Front Collision,Total Loss,18347,Sports Car,N
327,42,955009,2015,IN,500/1000,500,1905,FEMALE,PhD,prof-specialty,Parked Car,Side Collision,Minor Damage,38527,Sedan,N
187,62,821001,2017,IL,100/300,500,1537,FEMALE,Associate,craft-repair,Vehicle Theft,Side Collision,Major Damage,26102,Sedan,N
243,59,109078,2005,IN,500/1000,2000,1296,FEMALE,Masters,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,6263,Sedan,N
86,42,424912,2021,OH,250/500,2000,1219,FEMALE,College,craft-repair,Single Vehicle Collision,Side Collision,Total Loss,45049,Truck,Y
284,35,675335,2010,IL,250/500,500,1252,MALE,High School,prof-specialty,Single Vehicle Collision,Side Collision,Major Damage,3902,Sports Car,Y
66,57,958058,2008,IL,250/500,2000,1900,FEMALE,Associate,tech-support,Vehicle Theft,Rear Collision,Major Damage,32823,SUV,Y
170,25,944092,2020,OH,500/1000,1000,1109,FEMALE,College,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,32540,Sedan,Y
45,56,859746,2019,IL,100/300,1000,720,MALE,High School,sales,Parked Car,Side Collision,Minor Damage,37335,Sports Car,N
62,57,495141,2019,IN,100/300,1000,578,FEMALE,Associate,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,12190,Sedan,N
134,31,315048,2010,IN,250/500,2000,1296,FEMALE,College,prof-specialty,Parked Car,Front Collision,Major Damage,42843,SUV,Y
284,49,860581,2019,OH,250/500,500,618,FEMALE,College,tech-support,Parked Car,Side Collision,Minor Damage,29690,Sports Car,N
28,68,742120,2018,IN,250/500,2000,1188,FEMALE,Associate,craft-repair,Single Vehicle Collision,Rear Collision,Major Damage,4994,Truck,N
108,55,749438,2015,OH,250/500,2000,1951,MALE,College,tech-support,Vehicle Theft,Rear Collision,Minor Damage,39997,Truck,N
44,50,257087,2011,OH,100/300,500,891,MALE,PhD,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,4010,Sedan,N
340,40,133320,2013,IN,500/1000,500,460,MALE,Associate,tech-support,Single Vehicle Collision,Side Collision,Total Loss,9377,Sedan,N
286,32,427025,2020,OH,500/1000,500,1477,MALE,College,sales,Single Vehicle Collision,Side Collision,Major Damage,15036,Sports Car,N
331,50,715115,2009,IN,500/1000,1000,937,MALE,High School,tech-support,Parked Car,Rear Collision,Major Damage,28467,SUV,N
128,42,613287,2014,IL,500/1000,2000,1247,FEMALE,High School,craft-repair,Single Vehicle Collision,Rear Collision,Minor Damage,2048,Sedan,N
348,34,464359,2022,IL,250/500,500,1387,FEMALE,PhD,tech-support,Parked Car,Rear Collision,Major Damage,38978,Sports Car,Y
231,50,359931,2007,OH,250/500,2000,464,MALE,Associate,exec-managerial,Vehicle Theft,Front Collision,Total Loss,49606,SUV,Y
190,64,506845,2017,IN,250/500,1000,985,MALE,College,prof-specialty,Parked Car,Side Collision,Total Loss,18038,Sedan,N
225,72,947982,2015,IN,500/1000,1000,570,MALE,College,tech-support,Parked Car,Front Collision,Total Loss,34576,Sedan,Y
385,19,649114,2021,IL,250/500,500,1696,FEMALE,High School,tech-support,Multi-vehicle Collision,Side Collision,Minor Damage,9878,Sports Car,N
377,31,200734,2017,IL,250/500,500,934,MALE,PhD,sales,Single Vehicle Collision,Front Collision,Minor Damage,29609,Sedan,N
283,70,257702,2010,IN,100/300,2000,1814,FEMALE,High School,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,26070,Truck,N
121,57,854122,2021,OH,100/300,500,1092,FEMALE,High School,prof-specialty,Single Vehicle Collision,Rear Collision,Major Damage,42647,SUV,Y
116,57,277235,2017,IL,250/500,2000,1750,FEMALE,PhD,craft-repair,Single Vehicle Collision,Rear Collision,Major Damage,23996,SUV,N
233,68,198511,2014,OH,100/300,500,507,FEMALE,Associate,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,20161,Truck,N
259,56,373797,2007,OH,100/300,2000,1585,MALE,College,prof-specialty,Multi-vehicle Collision,Front Collision,Minor Damage,48022,Sports Car,N
359,68,783321,2018,IL,250/500,2000,1213,FEMALE,Associate,craft-repair,Multi-vehicle Collision,Rear Collision,Major Damage,42148,Truck,Y
198,23,706229,2009,OH,250/500,2000,1404,FEMALE,Masters,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,4228,Truck,N
137,23,829497,2009,OH,250/500,2000,851,MALE,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,28365,SUV,Y
